SKU,Título,Categoria,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0268,Chá de bebê revelado,Gravidez,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0269,5 maneiras de se livrar da gordura do bebê,Gravidez,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0275,Segredos para dentes mais brancos,Fitness,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0276,Massa Muscular,Fitness,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0302,Saúde do cão exposta,Cães e pets,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0314,Um guia completo para cuidados com os cabelos no verão,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0315,Torradeiras livro de mão,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0318,Ronco e você,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0319,Melhores escolhas Melhor vida,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0320,Medicina Holística e Alternativa,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0321,Mais sobre clareamento dental,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0322,Durma bem,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0323,Ganhar muito com a indústria de saúde e bem-estar,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0324,Gestão de Stress,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0325,Lidar com o estresse na vida,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0326,Domínio de violino,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0327,Como eliminar o estresse e a ansiedade da sua vida,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0329,Autodefesa para manequins,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0330,Acne compreensiva,Saúde,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0374,Estilo de vida sem glúten,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0375,Construa sua tribo,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0376,Defendendo um estilo de vida vegetariano,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0377,Receitas de chocolate e cacau,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0378,Fundamentos da culinária,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0379,101 dicas e técnicas para cozinhar como um chef,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0380,Fazendo Chocolate 101,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0381,Sinta comida completa,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0382,Super Alimentos Urgentemente,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0383,Culinária de Natal Simples,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0384,Relatório de comer limpo,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0385,Estratégias de molho secreto,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0386,Segredos-de-Combinações-de-Alimentos,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0387,As melhores receitas relacionadas com chocolate,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0389,Métodos Secretos Para Queima de Calorias,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0390,Queimando Calorias 24 Horas,Alimentação e Dieta,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0391,Kettlebell Bootcamp,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0392,Modelo de massa de energia,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0393,HI IT 2Fit,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0394,Aptidão funcional,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0395,Manual de treinamento funcional,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0396,Você mais novo,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0397,TRX Training Extreme,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0398,Musculação da Bíblia Ocupada,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0399,Manter o corpo,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0400,Guerreiros do peso,Musculação,REVISÃO ESPECIALIZADA,P2,ALTO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
