SKU,Título,Categoria de origem,Decisão,Prioridade,Risco,Licença,Fonte,Status
PLR-0086,A bela arte da sedução,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0087,Como cortejar uma mulher,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0088,5 etapas ao sucesso datando em linha,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0278,O discurso perfeito do casamento,Casamento,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0366,Reavivar o romance,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0367,Relacionamentos amorosos,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0368,Atraia o que quer,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0369,Tipos de personalidade Vark,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0370,Progress Speed Dating,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0371,Sexo e romance,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0372,Segredos de namoro online,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
PLR-0373,Pergunte isso a garota,Relacionamentos,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,VERIFICAR POR PRODUTO,ZIP auditado,AUDITADO / TRIAGEM
