SKU,Categoria,Título original,Decisão,Prioridade,Risco,Profundidade da auditoria,Preço indicativo,Pack sugerido,Licença,Fonte,Status
PLR-0075,Relacionamentos,Férias com a família,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0076,Relacionamentos,Ideias românticas para um memorável dia dos namorados,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0077,Relacionamentos,Dicas para economizar dinheiro para famílias,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0078,Relacionamentos,Confiança concreta,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0079,Relacionamentos,Como se tornar a garota que os homens adoram,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0080,Relacionamentos,Como organizar seu casamento em um orçamento,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0081,Relacionamentos,Como reconquistar seu ex,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0082,Relacionamentos,Como namorar uma garota,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0083,Relacionamentos,Como Ganhar na Batalha de Custódia Infantil,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0084,Relacionamentos,7 maneiras simples de obter seu ex,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0085,Relacionamentos,A arte de convidar uma garota,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0086,Relacionamentos,A bela arte da sedução,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0087,Relacionamentos,Como cortejar uma mulher,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0088,Relacionamentos,5 etapas ao sucesso datando em linha,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,PACOTE/AMOSTRA,"R$ 14,90–29,90",Pack Relacionamentos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0089,Prosperidade,Magnetismo de Saúde e Riqueza,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Prosperidade,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0090,Produtividade,Domínio de Gerenciamento de Tempo,PUBLICAR APÓS QA,P1,BAIXO/MÉDIO,TÍTULO/PASTA,"R$ 14,90–29,90",Pack Carreira & Desenvolvimento,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0091,Nichos Diversos,The Pill Gates Theory,EXCLUIR,P3,ALTO,TÍTULO/PASTA,NÃO PUBLICAR,Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0092,Nichos Diversos,Rompendo com dificuldades de aprendizagem,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0093,Nichos Diversos,Sair do ronco agora,REVISÃO ESPECIALIZADA,P2,ALTO,TÍTULO/PASTA,Definir após revisão,Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0094,Nichos Diversos,Riquezas do seminário ao vivo,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0095,Nichos Diversos,Publicação do Kindle simplificada,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0096,Nichos Diversos,Prevenção de infecção por leveduras,EXCLUIR,P3,ALTO,TÍTULO/PASTA,NÃO PUBLICAR,Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0097,Nichos Diversos,Mensagem 911 Voltar,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0098,Nichos Diversos,O comerciante do Google imparável,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0099,Nichos Diversos,O efeito cascata,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
PLR-0100,Nichos Diversos,O pai rico é o caminho para ficar rico,ATUALIZAR,P2,MÉDIO,TÍTULO/PASTA,"R$ 19,90–39,90 após revisão",Pack Nichos Diversos,VERIFICAR POR PRODUTO,Bônus 1 / pasta descompactada,AUDITADO / TRIAGEM
